Name,Year,Event,Image,Image caption,Display Year (if different)
Ōishi Yoshino,2005,"Publishes 声・映像・ジャーナリズム: メディアの中の戦争と文学 (Voice, Film, Journalism: War and Literature in the Media) (Ferris University); Publishes 子ども戦世のなかで: 大石芳野写真集 (Children in a World of War) (Fujiwara shoten)",,,
Ōishi Yoshino,2007,Recieves the Purple Ribbon Medal of Honor; Publishes 魂との出会い: 写真家と社会学者の対話 (Encounters with the Soul: A Dialogue between Photographers and Sociologists) (Fujiwara shoten),,,
Ōishi Yoshino,2008,Recieves the Nihon University Award; Publishes ＜不発弾＞と生きる: 祈りを織るラオス (Living with Unexploded Bombs: Laos Weaving Prayers) (Fujiwara shoten),,,
Ishiuchi Miyako,1953,"Ishiuchi's family moves from Gunma Prefecture to the Oppamahon-chō neighborhood in Yokosuka, a city in Kanagawa Prefecture known for its U.S. Naval Base",,,
Ishiuchi Miyako,1964,Becomes interested in design upon seeing Kamekura Yūsaku's design for the 1964 Tokyo Olympics posters,,,
Ishiuchi Miyako,1966,Enters Tama Art University (Tamabi) to study design,,,
Ishiuchi Miyako,1967,Transfers to the textiles department at Tamabi,,,
Ishiuchi Miyako,1969,"Participates in student protests with the Bijutsu Kyōtō Kaigi (Artists Joint Struggle Council, also known as Bikyōtō); Establishes the Kakumei-teki Shokunin Dō-mei (Revolutionary Craftsmen's Association)",,,
Ishiuchi Miyako,1970,"Forms a uman ribu (women's liberation) group, the Shisō Shūdan Esuiekusu (Thought Group S E X) with Mori Setsuko and Yonezu Tomoko and later quits; Drops out of Tamabi; Moves to Tokyo and begins working part-time jobs",,,
Ishiuchi Miyako,1975,"Receives a camera and darkroom equipment from her boyfriend Fujisaki Kōichi; Begins using a Pentax SV camera with a 28mm lens; Sets up a darkroom at her parents' home in Kanazawa Hakkei and photographs in the region; Participates in the group exhibition Shashin Kōka 3 (Photographic Effect 3) at Gallery Shimizu in Tokyo, where Araki Nobuyoshi and Tōmatsu Shōmei praise her work, encouraging her to continue pursuing photography; Adopts her mother's maiden name, Ishiuchi Miyako, as her professional name (she was born Fujikura Yōko)",,,
Ishiuchi Miyako,1976,"Buys a Nikon F2 camera and a 200mm lens; Decides to start photographing Yokosuka after she visits the Tōhoku region and is uninspired; Organizes and participates in the exhibition Hyakkaryōan (Riot of Flowers) at Gallery Shimizu in Tokyo, featuring the work of ten women photographers",,,
Ishiuchi Miyako,1977,"Araki Nobuyoshi introduces Ishiuchi to Miki Jun, photographer and director of the Nikon Salon, where she exhibits work from Yokosuka Story; Participates in the group exhibition Photography Today '77 at the Kanagawa Kenmin Gallery in Yokohama",,,
Ishiuchi Miyako,1978,Her father gives her the money that had been saved for her wedding so that she can produce photobooks; Publishes the photobook Apartment (Shashin tsūshinsha); Holds exhibition of the Apartment series at the Nikon Salon in Tokyo,,,
Ishiuchi Miyako,1979,"Receives the 4th Kimura Ihei Award for Apartment and holds a solo exhibition at Nikon Salon; Publishes the photobook Yokosuka Story (Shashin tsūshinsha); Participates in the group exhibit Japan: A Self-Portrait held at the International Center of Photography in New York; Travels to New York, California, Arizona, and Mexico for More Magazine; Photographs in color for the first time",,,
Ishiuchi Miyako,1980,Holds a solo exhibit of work from Endless Night at Nikon Salon; Participates in the group exhibition Photo-Session '80 at Konishiroku Gallery in Tokyo,,,
Ishiuchi Miyako,1981,"Publishes the photobooks Endless Night (Asahi sonorama) and Suidōbashi (Issei shuppan); Rents the 2nd New Yokosuka cabaret where she prints new photographs of Yokosuka and exhibits them alongside works from Yokosuka Story in the exhibit, From Yokosuka",,,
Ishiuchi Miyako,1982,Holds solo exhibition Suidōbashi at Nikon Salon; Work appears in Asahi Camera and Camerart,,,
Ishiuchi Miyako,1983,Invited to make photographs for the magazine Camera Mainichi,,,
Ishiuchi Miyako,1984,"Invited to participate in the Polaroid Corporation's project to have famous photographers produce work with a 20x24 Polaroid camera, for which she creates the series Dōkyūsei, portraits of her classmates from Yokosuka City Second High School; Her work appears in Camera Mainichi and Mainichi Graphic; Holds solo exhibit Tokyo Bay Cities at Nikon Salon; Participates in the group exhibit DuMont Foto 5: Die Japanische Photographie at the Museum für Kunst und Gewerbe in Hamburg",,,
Ishiuchi Miyako,1985,"Holds solo exhibits at Nikon Salon and Space de Aupa in Nagoya; Participates in the group exhibit Paris, New York, Tokyo at the Tsukuba Museum of Photography",,,
Ishiuchi Miyako,1986,"Travels to Guam for a commission by All Nippon Airways; The series Dōkyūsei is published in The Works with Polaroid 20x24, 1983-1986 (Seikyūsha); Holds solo show Tokyo Bay Cities at Saikaya Salon in Yokosuka; Exhibits work from Dōkyūsei in World of Super-Image at the Yūrakucho Seibu Art Forum in Tokyo",,,
Ishiuchi Miyako,1987,Begins working on the series 1947 by photographing Araki Yōko; Participates in the group exhibit Japanese Women Photographers at Lehigh University Art Gallery in Pennsylvania,,,
Ishiuchi Miyako,1988,Holds a solo exhibit From Yokosuka: Third Position at Room 801 in Tokyo with new work made in Yokosuka,,,
Ishiuchi Miyako,1989,"Photographs EM Club in Yokosuka before it is demolished; Participates in the group exhibit The Hitachi Collection of Contemporary Japanese Photography at the Center for Creative Photography, The University of Arizona",,,
Ishiuchi Miyako,1990,Stops photographing Yokosuka; Publishes the photobook 1947 (Inter Press Corporation); Work appears in Asahi Camera and Asahi Graph; Participates in the group exhibit Women's Perspective in Germany and Japan at the Kawasaki City Museum,,,
Ishiuchi Miyako,1991,"Begins to photograph the Butoh dancer Ohno Kazuo; Holds solo exhibit at Past Rays Photo Gallery in Yokohama; Participates in multiple group exhibits, including Unknown Self: Self-Portraits of Contemporary Women at the Tokyo Metropolitan Museum of Photography",,,
Ishiuchi Miyako,1992,"Holds a solo exhibit Interior 2 at Gallery Te in Tokyo; Participates in multiple group exhibits, including So oder so nicht sein: Symposion über Fotografie 13 at Forum Stadtpark in Graz, Austria",,,
Ishiuchi Miyako,1993,"Publishes a compilation of essays in the book Monochrome (Chikuma shobō); Holds a solo exhibit Interior 3 at Galler Te; Participats in multiple group exhibits, including Changing I: Dense Cities at Shedhalle Zurich",,,
Ishiuchi Miyako,1994,"Travels to New York and meets Robert Frank; Publishes the photobook 1906 to the skin (Kawade shobō shinsha); Holds multiple solo exhibits including work from 1947 at Laurence Miller Gallery in New York; Participats in multiple group exhibits, including, Japanese Art after 1945: Scream Against the Sky at the Guggenheim Museum in New York",,,
Matsumoto Michiko,1971,Attends and photographs a <i>ūman ribu</i> (Women's Liberation) training camp in Nagano and publishes the photographs in <i>Asahi Graph</i> and <i>Shukan Bunshun; </i>She continues to photograph ribu protests and demonstrations until 1977,,,
Matsumoto Michiko,1972,Her photographs from the Nagano <i>ribu</i> training camp appear on posters for the Ribu Conference,,,
Matsumoto Michiko,1974,"Photographs Witch Concerts, concerts organized for women by the women of the Three Points cafe, a gathering center for the ūman ribu movement; Begins traveling to New York, Los Angeles, and Paris to photograph protests and make portraits of key women in feminist movements, the arts, and publishing",,,
Matsumoto Michiko,1976,Photographs Witch Concerts,,,
Matsumoto Michiko,1977,Photographs Witch Concerts,,,
Matsumoto Michiko,1978,"Publishes <i>Women Come Alive</i>, a collection of her feminist photographs of the 1970s",,,
Matsumoto Michiko,2013,Publishes the photobook 日本のバラ (Japanese Roses) (Tankōsha),,,
Matsumoto Michiko,2015,Publishes the photobook 東京桜100花 (100 Cherry Blossoms in Tokyo) (Tankōsha),,,
Matsumoto Michiko,2016,"Publishes the photobook 更紗 (Chintz) (Tankōsha); Holds a solo exhibition of portrait photographs at The Museum of Contemporary Art Karuizawa, Nagano",,,
Takeda Hana,1970,"After graduating from high school, her father buys her a Pentax SV camera, and she starts making photographs",,,
Takeda Hana,1974,Graduates from Tōyō University,,,
Takeda Hana,1979,"Publishes her first photobook うちの猫・よその猫 (Indoor Cat, Outdoor Cat) (Shinya sosho)",,,
Takeda Hana,1980,Publishes the photobook 猫町横丁 駄猫・雑猫グラフィティー (Cat Town Yoko-chō) (Izara shobo),,,
Takeda Hana,1982,Publishes the photobook 猫のいた場所 (Places with Cats) (Shuppan shinsha),,,
Takeda Hana,1987,"Begins traveling to run-down towns, such as Soka, Ashikaga, Tatebayashi, and Kiryu, among others, to photograph for the project 眠そうな町 (Sleepy Town); Publishes the photobook 猫・陽あたる場所 (Cats in the Sun) (Gendai shokan)",,,
Takeda Hana,1990,Wins the 15th Kimura Ihei Award; Publishes the photobook 眠そうな町 (Sleepy Town) (IPC),,,
Takeda Hana,1996,Publishes the photobook 猫 TOKYO WILD CATS (Chuokoronsha),,,
Takeda Hana,2001,Publishes the photobook SEASIDE BOUND (Chuokoronsha),,,
Takeda Hana,2007,Publishes the photobook 猫・大通り(Cat Boulevard) (Gendai shokan),,,
Ushio Sayuri,1980,Graduates from Beauty Arts Kobe,,,
Ushio Sayuri,1985,"Opens her own hair salon, TICK TOCK Club",,,
Ushio Sayuri,2000,Participates in the Tada Photo Collection 2000 grand prix; also places as a finalist as an entry from the Kansai region for JHA 2000,,,
Ushio Sayuri,2001,Is a finalist for JHA 2001; wins two awards at the Milbon Photo Collection,,,
Ushio Sayuri,2003,Participates in the Arimino Photo Collection 2003; is a finalist for JHA 2003,,,
Ushio Sayuri,2005,Participates in the Arimino Photo Collection 2005,,,
Ushio Sayuri,2009,"Her photograph and text work, <i>Live & Move, </i>is serialized in News Hair Magazine",,,
Ushio Sayuri,2010,Publishes the photobook 日本の美容氏達へ (For Japanese Hairdressers) (Parade),,,
Ushio Sayuri,2011,Opens the Step Bone Cut Academy,,,
Ushio Sayuri,2018,Publishes the book 人生を変える髪の魔法：女性は髪型で10歳若返る(The Magic of Life-Changing Hair: Look Ten Years Younger Through Hairstyles) (Jiyūkokuminsha),,,
Takada Kyōko,1978,"Begins her career in the pharmaceutical industry, working in the medical research division of Fujisawa Pharmaceutical Company",,,
Takada Kyōko,1991,Begins working in commercial photo design and as a freelance photographer,,,
Takada Kyōko,DATE TK,Graduates from the Sōzōsha College of Design with a degree in illustration,,,
Takada Kyōko,DATE TK,Studies with photography professor Takada Seizō and Western art professor Hasegawa Masaki at Osaka Geijutsu Daigaku,,,
Takada Kyōko,2005,"Publishes チュニジアドア (Tunisian Door) (Sairyūsha), and アナザー ニュートラルイスラム世界を旅する人へ (Another Neutral: The Islamic World for Travelers) (Byakuya Shobō",,,
Takada Kyōko,2011,"Publishes 私の愛するチュニジア (My Beloved Tunisia) (Tōhō Shuppan), and 私の愛するエジプト (My Beloved Egypt) (Tōhō Shuppan)",,,
Orisaku Mineko,1981,Graduates from the Kyoto Bunkyo Junior College; participates in the Miss Universe pageant,,,
Orisaku Mineko,1982,Joins the Ōtake Studio,,,
Orisaku Mineko,1985,Selected for the Nika Art Exhibition,,,
Orisaku Mineko,1986,Selected for the Nika Art Exhibition; apprentices with photographer Ōtake Shōji,,,
Orisaku Mineko,1987,Begins independent freelance work,,,
Orisaku Mineko,1991,Publishes BOSTON in the time (Mitsumura Insatsu),,,
Orisaku Mineko,1994,Publishes Dimensions (Kōdansha),,,
Orisaku Mineko,1996,Publishes Turkey (Hashimoto Kakubundō),,,
Orisaku Mineko,2003,Publishes MAGYAR (Kōdansha),,,
Orisaku Mineko,2004,Joins Osaka Geijutsu Daigaku as professor in the photography department,,,
Orisaku Mineko,2005,Publishes 光彩上海 (Colors of Shanghai) (Asahi Shinbunsha),,,
Orisaku Mineko,2006,Publishes MY SWITZERLAND (Seiryū shuppan),,,
Orisaku Mineko,2007,Becomes director of photography department at Osaka Geijutsu Daigaku,,,
Orisaku Mineko,2010,Publishes SWISS 光と風 (SWISS Light and Wind) (Kōdansha),,,
Ogata Hidemi,1983,Begins studying photography with the fashion photographer Izimi Kaoru,,,
Ogata Hidemi,1985,"Travels to the United States of America, largely based in NYC, where she lives and works for approximately five years",,,
Ogata Hidemi,1989,"First solo exhibition: My Fabulous Friends, at Tokyo Designers Space Photo Gallery (Tokyo)",,,
Ogata Hidemi,1992,Participates in the Kobe Fashion Festival,,,
Ogata Hidemi,1995,Publishes <i>Blankey Jet City </i>(Little More),,,
Ogata Hidemi,1999,Publishes 氷 (Ice) (Kōrinsha),,,
Ogata Hidemi,2000,Publishes Diamond Cat (Shinkō Music),,,
Ogata Hidemi,2002,Publishes Silver Wolf - MASATO (ASCII),,,
Ogata Hidemi,2003,"Publishes アイアムアーサー! ―不良牧師からの伝言 ( I Am Arthur! Messages From a Bad Pastor) (Geibunsha), with Arthur Hollands",,,
Ogata Hidemi,2011,Publishes 写真集 横綱白鵬 (Yokozuna Hakuhō Photobook) (Grace),,,
Takahashi Junko,1985,Graduates from Musashino Art University,,,
Takahashi Junko,1989,First solo exhibition is held at Kobayashi Gallery (Tokyo),,,
Takahashi Junko,1990,"Two solo exhibitions: ジョーンズ氏の肖像 (Portrait of Mr. Jones) at Kaneko Art G1 (Tokyo), and ポリ=プラ=スクラップ (Poly=Pla=Scrap) at Mole (Tokyo)",,,
Takahashi Junko,1992,Wins the 5th Canon New Cosmos Award of Excellence for 記憶の絵 (Pictures of Recollection),,,
Takahashi Junko,1993,"Holds a solo exhibition, Ontology, at Gallery+1 (Tokyo)",,,
Takahashi Junko,1995,"Holds a solo exhibition, Heart Beat, at Konica Plaza (Tokyo)",,,
Takahashi Junko,1996,"Publishes her first photobook, a hybrid analogue and CD-ROM photobook, entitled Another Sight (Inner Brain); A solo exhibition of the same series is held at Mole gallery (Tokyo)",,,
Takahashi Junko,1998,"Publishes スクールダズ (School Days) (Shinchosha), Y's Eyes (Yomiuri TV), and Trans Body Bondage (Wailea Press)",,,
Takahashi Junko,2002,"Her work is included in the group exhibition 写真新世紀１０周年記念展 Futuring Power (Futuring Power: 10th Anniversary of New Cosmos of Photography), held at the Tokyo Metropolitan Museum of Photography (Tokyo); she also holds a solo exhibition, cool & heat, at Sho-ART (Tokyo)",,,2002-2003
Takahashi Junko,2006,Publishes The Receptionist (Nazraeli Press),,,
Takahashi Junko,2008,"Her work is included in the group exhibition 日本の新進作家展 vol.7「オン・ユア・ボディ」(On Your Body: Contemporary Japanese Photography Vol.7), held at the Tokyo Metropolitan Museum of Photography (Tokyo); two solo exhibitions: The Receptionist—Tokyo Mid, at LOTUSROOT Gallery (Tokyo), and wreck, at moriokashoten (Tokyo)",,,
Takahashi Junko,2011,"Solo exhibition: LOST WORLD held at Three Shadows Art Photography Center in Beijing, China",,,
Takahashi Junko,2012,"Solo exhibition: Fade Out Changdian / LOST WORLD, held at Shinjuku Nikon Salon (Tokyo)",,,
Onodera Yuki,DATE TK,Graduates from Kuwazawa Design School,,,
Onodera Yuki,1991,Wins the 1st New Cosmos of Photography Award,,,
Onodera Yuki,1992,"Her work is included in the group exhibition, 第1回・写真新世紀 (The 1st New Cosmos of Photography), held at P-3 Art and Environment Gallery (Tokyo)",,,
Onodera Yuki,1993,"Moves to Paris and establishes her own studio; holds her first solo exhibition, 白と玉 (White and Sphere), at Gallery Hosomi (Tokyo)",,,
Onodera Yuki,1995,"Holds three solo exhibitions of her DOWN series in Tokyo at three different galleries, and one solo exhibition in Paris, entitled 古着のポートレート (Portrait of Second-Hand Clothes), at L'Institut Français de la Mode (Paris)",,,
Onodera Yuki,1996,"Wins the 21st Kodak Photo Critic Award, and is included in the exhibition celebrating the same awards, held at the Galerie Passage de Retz (Paris), along with three other group exhibitions and one solo exhibition in Paris.",,,
Onodera Yuki,1997,"Two solo exhibitions in France, held at the Galerie Laage-Salomon (Paris) and the   Galerie du Théâtre Granit (Belfort); Her work is also included in two Japanese group exhibitions, including the 第2回東京国際写真ビエンナーレ 展 ( ノミネート部門日本代表参加 (The 2nd Tokyo International Photo-Biennale / Nomination Section) at the Tokyo Metropolitan Museum of Photography (Tokyo).",,,
Onodera Yuki,1998,"Her work is included in eight group exhibitions internationally, including Moscow, Tokyo, France, and the United States of America.",,,
Onodera Yuki,1999,"She exhibits in three solo exhibitions in Japan: a solo exhibition at the Museum of Modern Art in Gunma, “C.V.N.I.“ at Galerie il tempo (Tokyo), and “P.N.I.“ at Zeit-Photo Salon (Tokyo); Her work is also included in four international group exhibitions in Germany, the USA, and France.",,,
Onodera Yuki,2000,"Solo exhibition at the Galerie du Théâtre Granit (Belfort, France); Her work is also included in six international group exhibitions in France, Germany, China, and the USA.",,,
Onodera Yuki,2001,"She recieves the 17th Higashikawa Award for young artists. Two solo exhibitions in Tokyo: 真珠のつくり方 (How to Make a Pearl) at Zeit-Foto Salon (Tokyo), and 窓の外を見よ (Look Out the Window) at Galerie il Tempo (Tokyo); Her work is also included in four international group exhibitions in Sweden and Japan.",,,
Onodera Yuki,2002,"Wins the Photographic Society of Japan beginners' award; Publishes 真珠のつくり方 (How to Make a Pearl)  (Nazraeli Press) and カメラキメラ (CameraChimera) (Suiseisha); The solo exhibitions  真珠のつくり方 (How to Make a Pearl) and 窓の外を見よ (Look Out the Window) travel to Paris, while two more solo exhibitions open in Tokyo: transvest at Zeit-Foto Salon, and ミツバチ – 鏡 (Bees — Mirror) at Galerie il Tempo; Her work is included in a dozen international group exhibitions in Sweden, Japan, Norway, Finland, Latvia, France, and Japan, including 写真新世紀１０周年記念 (The New Cosmos of Photography 10th Anniversary) at The Tokyo Metropolitan Museum of Photography (Tokyo).",,,
Onodera Yuki,2003,"Wins the Kimura Ihei award; Holds one solo exhibition in Paris and her work is featured in five international group exhibitions in Japan, China, and France.",,,
Onodera Yuki,2004,"Publishes the photobook transvest (Nazraeli Press); Three solo exhibitions in Paris and Tokyo; Her work is also included in seven international group exhibitions in Spain, China, Japan, and Germany, including 六本木クロッシング：日本美術の新しい展望 (Roppongi Crossing: New Visions in Japanese Art) at the Mori Art Museum (Tokyo).",,,
Onodera Yuki,2005,"Multiple solo exhibitions, including at the National Museum of Art in Osaka, Japan, and dozens of international group exhibitions.",,,
Onodera Yuki,2006,Wins the Niépce Award; Participates in multiple international group and solo exhibitions.,,,
Onodera Yuki,2007,"Exhibits in dozens of solo and group exhibitions across the globe, including shows in Paris, Tokyo, Korea, Germany, China, Iceland, and the USA, among others.",,,
Onodera Yuki,2008,"Exhibits in dozens of solo and group exhibitions across the globe, including shows in Paris, Tokyo, Korea, Germany, China, and Luzembourg, among others.",,,
Onodera Yuki,2009,"Exhibits in multiple solo and group exhibitions across the globe, including shows in Paris, Tokyo, Korea, Colombia, Germany, the USA, and Greece, among others.",,,
Onodera Yuki,2010,"Holds a solo exhibition of her work,「写真」の迷宮へ (Yuki Onodera: Into the Labyrinth of Photography), at the Tokyo Metropolitan Museum of Photography; Exhibits in numerous other solo and group exhibitions across the globe, including shows in France, Japan, and China.",,,
Onodera Yuki,2011,Wins the Minister of Education Award for Fine Arts; Wins the 27th Higashikawa Prize; Her career trajectory of numerous international solo and group exhibitions continues through the second decade of the 21st century.,,,
Onodera Yuki,2014,Publishes 11番目の指 (Eleventh Finger) (art beat publishers),,,
Nakamura Haruko,1984,"Nakamura graduates from Nihon University in the photography division of the Department of the Arts; Following her graduation, she travels to Tanzania for six months.",,,
Nakamura Haruko,1989,Publishes 世界の子どもたちタンザニア(Children of the World: Tanzania) (Kaiseisha),,,
Nakamura Haruko,1991,"Her first solo exhibition, 太陽と風のワトト (Watoto of the Sun and the Wind), is held at El Park Sendai (Miyagi)",,,
Nakamura Haruko,1993,Travels to Tuscany and starts a project photographing landscape and scenery.,,,
Nakamura Haruko,1995,"Her solo exhibition, 魚を売るイネさん (Mrs Ine Selling Fish) is held at El Park Sendai (Miyagi)",,,
Nakamura Haruko,1999,Her solo exhibition うみから・・・(From the Sea) is held at Gallery Arata (Miyagi),,,
Nakamura Haruko,2000,"Wins New Cosmos of Photography Grand Prix Award for her work 海からの贈り物 (The Gift from the Sea); Also wins the 21st Annual New Century of Photography Excellence Award, as selected by photographer Araki Nobuyoshi.",,,
,2002,Her work 海からの贈り物 (The Gift from the Sea) is included in the group exhibition 写真新世紀10周年記念 (New Century of Photography - 10th Anniversary) held at the Tokyo Metropolitan Museum of Photography (Tokyo),,,
Nakamura Haruko,2005,Dies from pancreatic cancer,,,
Nakamura Haruko,2008,"Posthumous publication of the photobook 光の音 Pure and Simple (Sound of Light, Pure and Simple) (Formare la Luce)",,,
Seino Yoshiko,1995,"After working as a editor for several years, she starts taking photographs in her thirties",,,
Seino Yoshiko,1996,"Her first solo exhibition, Seino Yoshiko with Switch, is held at the Comme des Garcons main store in Aoyama, Tokyo",,,
Seino Yoshiko,1997,"She publishes the first two volumes of the photobook series Chicken Skin Photographs, a collaboration with the designer and art direector Ishizaki Kentaro (self-published). Initially five volumes were planned, but only the first three were ever realized",,,
Seino Yoshiko,1998,Publishes the third photobook in the collaborative Chicken Skin Photographs series with Ishizaki Kentaro (self-published),,,
Seino Yoshiko,1999,"Her solo exhibition, Emotional Imprintings, is held at Gallery Koyanagi (Tokyo)",,,
Seino Yoshiko,2002,Publishes the photobook The Sign of Life (Osiris),,,
Seino Yoshiko,2000,Her work is included in the group exhibition 反記憶-現代写真Ⅱ (Anti-memory: Contemporary Photography II) at the Yokohama Museum of Art (Yokohama),,,
Seino Yoshiko,2003,"Her first international solo exhibition, The Sign of Life, is held at the Wintertour Photo Museum (Wintertour, Switzerland)",,,
Seino Yoshiko,2008,"Her solo exhibition A Good Day, Good Time is held jointly at Gallery Trax (Yamanashi) and Punktum Photography (Tokyo)",,,
Seino Yoshiko,2009,"Her photobook, 至るところで 心を集めよ 立っていよ (Everywhere, Gather Yourself, Stand) (Osiris), is published shortly before her death",,,
Ara Taeko,1986,"Graduates from Komazawa University, Department of Japanese Literature",,,
Ara Taeko,1995,"In addition to her career as a poet, theater director, and painter, Ara begins studying photography",,,
Ara Taeko,2000,Wins the JPS Exhibition Bronze Award,,,
Ara Taeko,2004,"Is diagnosed with breast cancer and undergoes treatment, including a total right mastectomy and years-long hormone treatment. Much of her subsequent photography and her advocacy work focuses on issues of mortality, femininity, and healing as a result of this experience.",,,
Ara Taeko,2005,Holds her first solo exhibition 白い夏 (White Summer) at Roonee 247 Photography (Tokyo),,,
Ara Taeko,2006,"Holds two solo exhibitions for 胸 神 乳がんになった日から (munakami - from the first day of breast cancer) at Shinjuku Nikon Salon (Tokyo) and Osaka Nikon Salon (Osaka), and an additional solo exhibition, オリヒメの涙 (Tears of Orihime) at Roonee 247 Photography (Tokyo); Wins the 13th Domon Ken Cultural Award Encouragement Prize for her exhibition 胸 神 乳がんになった日から (munakami - from the first day of breast cancer)",,,
Ara Taeko,2007,"Holds two solo exhibitions:  √1, at Shinjuku Nikon Salon (Tokyo) and Trance at Roonee 247 Photography (Tokyo)",,,
Ara Taeko,2008,"The solo exhibition √1 travels to Osaka Nikon Salon (Osaka), and she holds a new solo exhibition, ILIS, at Nadar (Tokyo)",,,
Ara Taeko,2009,"Holds a special solo exhibition at the Atami City Sawada Seiko Memorial Museum (Atami City, Shizuoka Prefecture), entitled 胸 神 ( muna  kami )」-澤田政廣の彫刻に魅せられて (muna kami - entranced by the sculpture of Sawada Seiko)",,,
Ara Taeko,2013,"Her work is included in the group exhibition 酒田市土門拳文化賞２０周年記念写真展 -歴代受賞者による近作展 (Sakata City Domon Ken Culture Award 20th Anniversary Exhibition - Recent Works by Successive Winners), held at the Sakata Museum of Art (Sakata City, Yamagata Prefecture)",,,
Kanamori Mayu,1981,"Moves to Melbourne, Australia to study philosophy at Toorak College",,,
