Name,Year,Event,Image,Image caption,,,,,,,,,,,,,,,,,,,,,
Honda Kana,2005,"Solo Exhibition ""SUSABI"" (Paris, France / Galalie Hitomi bushi d'Eau) ",,,,,,,,,,,,,,,,,,,,,,,
Honda Kana,2008,"Solo Exhibition ""Maps I Have"" (Osaka / Kaigandori Gallery CASO); Solo Exhibition ""Maps I Have"" (Kobe / STREET GALLERY)",,,,,,,,,,,,,,,,,,,,,,,
Hanayo,1996,Published Hanayome (Shinchosha),,,,,,,,,,,,,,,,,,,,,,,
Hanayo,2000,"“utsushiyumekuni”, PARCO GALLERY (Tokyo)  ",,,,,,,,,,,,,,,,,,,,,,,
Hanayo,2002,"“hanayo”, Palais de Tokyo (Paris)",,,,,,,,,,,,,,,,,,,,,,,
Hanayo,2008,Published MAGMA (AKAAKA Art Publishing),,,,,,,,,,,,,,,,,,,,,,,
Hanayo,2013,Published berlin (Getsuyosha),,,,,,,,,,,,,,,,,,,,,,,
Hanayo,2016,Published Tenko (Case Publishing),,,,,,,,,,,,,,,,,,,,,,,
Hanayo,2017,“hanayo III” Taka Ishii Gallery Photography / Film (Tokyo),,,,,,,,,,,,,,,,,,,,,,,
Hanayo,2021,"Published Hanayo’s Underworld: Half a Century (Kawade Shobo Shinsha, ).",,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,1994,Graduated from Nihon University specializing in photography,,,,,,,,,,,,,,,,,,,,,,,
,1996,Grand Prize at New Cosmos of Photography in Kyoto,,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,1997-8,Traveled to New York on a fellowship from the Asian Culture Council,,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,1999,Invited to be a guest artist at Rijksakademie in the Netherlands,,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,2001,"Published Tori o miru (P3 art and environment); MIMOCA'S EYE VOL. 1 (Marugame Genichirō Inokuma Museum of Contemporary Art) 
",,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,2004,"Published Kono hoshi (Hara Museum, Icon Gallery,",,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,2005,"In-between13 (EU-Japan Fest)
",,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,2009,Published Hikari (The National Art Center); Taiyō (Izu Photo Museum) ,,,,,,,,,,,,,,,,,,,,,,,
Noguchi Rika,2012,Published Hikari wa mirai ni todoku (Izu Photo Museum),,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,1996,"Featured in Iizawa Kōtarō, Shutter & Love, which attempted to make sense of the work of women photographers in the 1990s
",,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,1997,"Graduated Tamabi
",,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,1998,Published 17 9 '97 (Metalogue),,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,1999,"Baby Blue Sky (Metalogue)
",,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,2000,"Sugar and Spice (Kawade Shobō Shashinsha)
Tokyo in Colors (Kōshinsha)",,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,2001,"
Kimura Ihee Award (shared w. Hiromix & Nagashima Yurie)",,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,2001,"

Pink Rose Suite (Editions Treville)",,,,,,,,,,,,,,,,,,,,,,,
Ninagawa Mika,2007,Made her debut as feature-lenght film director with Sakuran,,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,1993," Graduated from Seian University of Art and Design, and began working in the photography department of an advertisement company
",,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,1995,Accepted for the APA International Photography biennial art exhibition ,,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,1996,"Began a career as a freelance photographer
",,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,1997,"Participated in the 9th Hitotsubo Exhibition's Photography Division Grand Prix 
",,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,1998,First solo exhibition Utatane,,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,2002,"Won the 27th Kimura Ihei Photography Award for Utatane and Hanabi, and also won the Photographic Society of Japan novice award
",,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,2009," Received an honourable mention for the Shiga Culture Award, and also won the Infinity Award for the arts division
",,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,2012,"Won the 63rd Minister of Education, Culture, Science, Science and Technology novice award for the exhibition Shōdo ametsuchi kage o miru ",,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,2013,Won the 29th Higashikawa Domestic Artist Prize ,,,,,,,,,,,,,,,,,,,,,,,
Kawauchi Rinko,,"Completed a photography course at the Royal College of Art in London
Held an exhibition titled Imagine Finding Me, which was exhibited in 16 countries
This exhibition is in the form of a family photo album
Ōtsuka is also a professor at the University of Richmond",,,,,,,,,,,,,,,,,,,,,,,
Otsuka Chino,2006,Published Imagine Finding Me,,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,1993,"Made her debut in with nude self-portraits and of her family
",,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,1993,Parco Prize for emerging artists (before graduation in 95),,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,1996,Work featured in Shutter & Love ,,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,1999,MFA from California Institute of the Arts,,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,2001,Kimura Ihee Award (shared w. Hiromix & Ninagawa Mika),,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,2009,"Published a book of biographical short stories, Senaka no kioku",,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,2010,Kodansha Essay Award,,,,,,,,,,,,,,,,,,,,,,,
Nagashima Yurie,2020,"Published “Bokura” no “onna no ko shashin” kara watashi no gaariifoto he (From “their"" “Girls Photography” to “our"" ""girlie photography”) (Tokyo: Daifuku shorin) ",,,,,,,,,,,,,,,,,,,,,,,
Hiromix,1995,Won the 11th New Cosmos of Photography award,,,,,,,,,,,,,,,,,,,,,,,
Hiromix,2000,Kimura Ihee Award (shared w. Ninagawa Mika & Nagashima Yurie,,,,,,,,,,,,,,,,,,,,,,,
Keiko Nomura,1997,"Took part in the Konica New Generation of Photographers grand prix
",,,,,,,,,,,,,,,,,,,,,,,
Keiko Nomura,1999,"Won the Newcomer's Award from the Photographic Society of Japan
",,,,,,,,,,,,,,,,,,,,,,,
Keiko Nomura,2001,Won the Higashikawa Newcomer's Award,,,,,,,,,,,,,,,,,,,,,,,
Itō Mari ,1997,Was the first woman photographer to win the Taiyō Award ,,,,,,,,,,,,,,,,,,,,,,,
Itō Mari ,1997,Exhibited her work at the Yunnan Museum of Art in China ,,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,1999,"Special Award “The 8th Exhibition of New Cosmos of Photography selected by Nobuyoshi Araki"" 

",,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,2002,"Won the 19th Hitotsubo Ten Prize 
",,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,2013,"“DILDO” (Session press) selected for PHOTOEYE BEST PHOTOBOOK by Hisako Motoo
",,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,2015,Paul Huf Award (Amsterdam),,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,2012,"Publishes Unseen/Tsunami (Dashwood Books)
",,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,2013,Dildo (Session Press),,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,2014,"Bible (Session Press)
",,,,,,,,,,,,,,,,,,,,,,,
Okabe Momo,2020,Irumataru ,,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2000,"Won an honourable mention at the 9th New Cosmos of Photography contest for Danshi
",,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2001,"Won an honourable mention at the 10th New Cosmos of Photography contest for Joshi chūgakusei
",,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2002,"Graduated from the Japan Institute of Photography and Film
",,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2007,Won the 32nd Kimura Ihei Award for her first photo book Umeme,,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2006,"Publishes Umeme (Little More) 
",,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2007,"
Publishes Danshi (Little More)
",,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2008,"Jiichan-sama (Little More)
",,,,,,,,,,,,,,,,,,,,,,,
Ume Kayo,2010,"Umeppu (Little More)
",,,,,,,,,,,,,,,,,,,,,,,
Shiga Lieko,2001,"First solo exhibition Floating Occurrence 
",,,,,,,,,,,,,,,,,,,,,,,
Shiga Lieko,2004,"Graduated with a degree in Fine Arts and New Media at the London Institute
",,,,,,,,,,,,,,,,,,,,,,,
Shiga Lieko,2007,"Published Lilly (Art Beat Publishing); CANARY (Akaaka Art Publishing, 2007) ",,,,,,,,,,,,,,,,,,,,,,,
Shiga Lieko,2009,Kanariamon (Akaaka Art Publishing),,,,,,,,,,,,,,,,,,,,,,,
Shiga Lieko,2013,Rasen Kaigan Shashinshū (Akaaka Art Publishing),,,,,,,,,,,,,,,,,,,,,,,
Shiga Lieko,2015,"
Shiga's work was featured in the exhibition In the Wake, which showcased Japanese photographers' work on the 3/11 disaster",,,,,,,,,,,,,,,,,,,,,,,
Shiga Lieko,2017,"
Blind Date (T&M Project)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
